"지역구분","제공 급여유형","응답자 직종","조사소요시간","1. 현재 보유하고 있는 자격증_요양보호사","1. 현재 보유하고 있는 자격증_사회복지사1급","1. 현재 보유하고 있는 자격증_사회복지사2급","1. 현재 보유하고 있는 자격증_간호사","1. 현재 보유하고 있는 자격증_간호조무사","1. 현재 보유하고 있는 자격증_물리치료사","1. 현재 보유하고 있는 자격증_작업치료사","1-1. 가족인요양보호사로 가족에게 재가급여 제공","2. 장기요양기관에서 일을 하는 주된 이유","3. 장기요양기관의 운영주체","4. 현재 소속된 장기요양기관에서 근무 시작 연도","4. 현재 소속된 장기요양기관에서 근무 시작 월","5. 근로계약서 작성 후 문서 보관 여부","6. 매 월 급여명세서 받는 여부","7. 직위","8. 현재 소속기관 고용형태","8. 현재 소속기관 고용형태(계약직_시간제_시급)","8. 주된 근무장소","9. 주된 근무 시간 유형","9-1. 교대제 형태","11-1. 월 60시간보다 적게 근무한 이유","13. 법정 근로수당 인지여부_휴일수당","13. 법정 근로수당 수령 방식_휴일수당","13. 법정 근로수당 인지여부_주휴수당","13. 법정 근로수당 수령 방식_주휴수당","13. 법정 근로수당 인지여부_연차수당","13. 법정 근로수당 수령 방식_연차수당","13. 법정 근로수당 인지여부_연장근로수당","13. 법정 근로수당 수령 방식_연장근로수당","14. 소속기관에서 받는 추가 수당 수령 여부_장기근속장려금","14. 소속기관에서 받는 추가 수당 수령 여부_직책수당","14. 소속기관에서 받는 추가 수당 수령 여부_기타","15. 2개 이상 장기요양기관 동시에 근무 여부","15. 동시에 근무하는 장기요양기관 개소","16. 지난 3개월 동안 장기요양기관에서 근로 시간(6월)","16. 지난 3개월 동안 장기요양기관에서 근로 시간(7월)","16. 지난 3개월 동안 장기요양기관에서 근로 시간(8월)","18. 희망하는 주당 근로 시간","19. 사회보험 가입 여부_국민연금","19. 사회보험 가입 여부_건강보험","19. 사회보험 가입 여부_고용보험","20. 장기요양보험 도입 이후 근로한 전체 기간(년)","20. 장기요양보험 도입 이후 근로한 전체 기간(개월)","21. 지난 1년 동안 부당한 경험 여부_모욕적 비난","21. 지난 1년 동안 부당한 경험 횟수_모욕적 비난","21. 지난 1년 동안 부당한 경험 여부_신체적 위협","21. 지난 1년 동안 부당한 경험 횟수_신체적 위협","21. 지난 1년 동안 부당한 경험 여부_성희롱적 발언 또는 신체접촉","21. 지난 1년 동안 부당한 경험 횟수_성희롱적 발언 또는 신체접촉","21. 지난 1년 동안 부당한 경험 여부_업무 이외 활동 요구","21. 지난 1년 동안 부당한 경험 횟수_업무 이외 활동 요구","22. 부당한 대우 대응 방법(1순위)","22. 부당한 대우 대응 방법(2순위)","23. 장기요양업무 시 질환이나 사고 경험 여부_근골격계 질환","23. 장기요양업무 시 질환이나 사고 경험 여부_감염성 질환","23. 장기요양업무 시 질환이나 사고 경험 여부_상해 또는 사고","23. 장기요양업무 시 질환이나 사고 경험 여부_기타","24. 장기요양업무 관련 질환, 사고 발생비용 처리방법_1","24. 장기요양업무 관련 질환, 사고 발생비용 처리방법_2","24. 장기요양업무 관련 질환, 사고 발생비용 처리방법_3","24. 장기요양업무 관련 질환, 사고 발생비용 처리방법_4","24. 장기요양업무 관련 질환, 사고 발생비용 처리방법_5","24. 장기요양업무 관련 질환, 사고 발생비용 처리방법_6","25. 장기교양기관의 대응 적절성","26. 교육수준","27. 장기요양업무 관련 교육 참여 현황_참여여부_치매전문교육","27. 장기요양업무 관련 교육 참여 현황_교육만족도_치매전문교육","27. 장기요양업무 관련 교육 참여 현황_미참여사유_치매전문교육","27. 장기요양업무 관련 교육 참여 현황_참여여부_공단,협회,교육기관 제공 교육","27. 장기요양업무 관련 교육 참여 현황_교육만족도_공단,협회,교육기관 제공 교육","27. 장기요양업무 관련 교육 참여 현황_미참여사유_공단,협회,교육기관 제공 교육","27. 장기요양업무 관련 교육 참여 현황_참여여부_소속기관 제공 교육","27. 장기요양업무 관련 교육 참여 현황_교육만족도_소속기관 제공 교육","27. 장기요양업무 관련 교육 참여 현황_미참여사유_소속기관 제공 교육","28. 장기요양업무에 추가적인 교육 필요성","29. 향후 참여하고 싶은 교육","30. 근무조건 및 근무환경에 대한 만족도_임금수준","30. 근무조건 및 근무환경에 대한 만족도_근무시간","30. 근무조건 및 근무환경에 대한 만족도_업무 내용","30. 근무조건 및 근무환경에 대한 만족도_업무 강도","30. 근무조건 및 근무환경에 대한 만족도_업무시간 조정의 유연성","30. 근무조건 및 근무환경에 대한 만족도_경력개발 및 승진기회","30. 근무조건 및 근무환경에 대한 만족도_고용 안정성","30. 근무조건 및 근무환경에 대한 만족도_직장 내 인간관계 및 직장문화","30. 근무조건 및 근무환경에 대한 만족도_일에 대한 보람","30. 근무조건 및 근무환경에 대한 만족도_사회적 인식","30. 근무조건 및 근무환경에 대한 만족도_전반적인 만족도","31. 장기요양요원으로서의 자긍심","31-1. 자긍심을 느끼지 못하는 이유","32. 장기요양업무 수행 시 받는 스트레스 많은지 여부","33. 지난 1년 동안의 이직 경험","33-1. 지난 1년 동안 이직 횟수_타 업종에서 장기요양기관으로 이직","33-1. 지난 1년 동안 이직 횟수_ 장기요양기관에서 장기요양기관으로 이직","33-1-1. 이직한 이유_1","33-1-1. 이직한 이유_2","33-1-1. 이직한 이유_3","33-1-1. 이직한 이유_4","33-1-1. 이직한 이유_5","33-1-1. 이직한 이유_6","33-1-1. 이직한 이유_7","33-1-1. 이직한 이유_8","33-1-1. 이직한 이유_9","34. 앞으로 이직할 의향","34-1. 이직하고자 하는 업종","35. 장기요양요원 처우개선을 위해 필요한 사항(1순위)","35. 장기요양요원 처우개선을 위해 필요한 사항(2순위)","36. 수급자와 알게 된 계기_1","36. 수급자와 알게 된 계기_2","36. 수급자와 알게 된 계기_3","36. 수급자와 알게 된 계기_4","37. 지난 1개월 동안 수급자 가정에 방문_급여제공 여부_방문요양","37. 지난 1개월 동안 수급자 가정에 방문_담당 수급자 수_방문요양","37. 지난 1개월 동안 수급자 가정에 방문_총 방문 횟수_방문요양","37. 지난 1개월 동안 수급자 가정에 방문_1일 최대 방문 수급자 수_방문요양","37. 지난 1개월 동안 수급자 가정에 방문_급여제공 여부_방문목욕","37. 지난 1개월 동안 수급자 가정에 방문_담당 수급자 수_방문목욕","37. 지난 1개월 동안 수급자 가정에 방문_총 방문 횟수_방문목욕","37. 지난 1개월 동안 수급자 가정에 방문_1일 최대 방문 수급자 수_방문목욕","37. 지난 1개월 동안 수급자 가정에 방문_급여제공 여부_방문간호","37. 지난 1개월 동안 수급자 가정에 방문_담당 수급자 수_방문간호","37. 지난 1개월 동안 수급자 가정에 방문_총 방문 횟수_방문간호","37. 지난 1개월 동안 수급자 가정에 방문_1일 최대 방문 수급자 수_방문간호","38. 지난 1년 동안 병원 등의 이유로 수급자와의 외출 여부","38. 지난 1년 동안 병원 등의 이유로 수급자와의 외출 횟수","38-1. 주된 이동수단","39. 지난 1년 동안 1개월 이상 일을 쉰 경험 여부","39. 지난 1년 동안 1개월 이상 일을 쉰 기간(개월)","39-1. 일을 쉰 이유_1","39-1. 일을 쉰 이유_2","39-1. 일을 쉰 이유_3","39-1. 일을 쉰 이유_4","39-1. 일을 쉰 이유_5","39-1. 일을 쉰 이유_6","39-1. 일을 쉰 이유_7","39-1. 일을 쉰 이유_8","39-1. 일을 쉰 이유_9","43. 지난 1개월 야간근무 한 경험 여부","43-1. 야간근무 시 담당 층 수","43-1. 야간근무 시 담당 수급자 수","44. 지난 1개월 동안 야간근무 경험 여부","45. 지난 1년 동안 근무시간 외 전화 대응 빈도","생년월","성별","가중치"
3,8,1,3,1,2,2,2,2,2,2,2,1,1,2016,12,3,1,1,2,,1,3,3,,1,4,1,1,1,6,1,5,2,2,2,2,,,,,40,1,1,1,10,0,1,3,2,,2,,1,6,5,4,1,2,2,2,1,,,,,,5,1,1,2,,1,2,,1,2,,2,1,4,4,3,3,4,3,3,2,2,4,4,2,,3,2,,,,,,,,,,,,1,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,18,,,4,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,1,2017,2,3,1,1,1,,1,3,3,,1,3,1,1,1,1,1,4,2,2,2,2,,,,,40,4,1,1,2,8,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,1,1,2,,1,2,,1,1,,4,,3,2,2,2,2,3,3,2,1,4,2,1,,2,2,,,,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,,,5,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,1,2017,9,3,1,1,1,,1,1,,,1,1,1,1,1,4,2,,2,2,2,2,,,,,40,1,1,1,2,1,1,1,1,1,2,,2,,1,2,2,2,2,2,,,,,,,,2,2,,6,1,1,,1,1,,3,1,3,3,3,3,2,3,2,2,2,4,4,3,,2,2,,,,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,2,2009,5,3,1,1,1,,1,3,1,,1,4,1,3,2,,1,1,1,2,2,2,,,,,0,4,1,1,10,5,2,,1,2,2,,2,,5,2,2,2,2,2,,,,,,,,1,1,2,,1,2,,1,2,,3,4,3,2,2,2,2,3,2,1,1,2,1,2,,5,2,,,,,,,,,,,,2,,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,,,5,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,3,2011,2,3,1,1,3,8350,1,3,2,,1,1,1,1,1,4,1,1,1,2,2,2,,,,,36,4,1,1,8,9,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,1,1,1,,1,1,,1,1,,3,1,2,2,2,2,2,2,2,2,2,2,2,2,,3,2,,,,,,,,,,,,2,,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,5,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,3,2012,3,3,1,1,2,,1,3,3,,1,4,1,3,1,1,1,1,1,1,2,2,,,,,46,4,1,1,7,7,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,2,1,2,,1,3,,1,3,,3,4,3,3,3,3,3,3,3,3,3,3,3,2,,3,2,,,,,,,,,,,,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,30,,,5,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,3,2013,10,3,1,1,1,,1,3,3,,1,4,1,4,1,1,1,1,2,2,3,2,,,,,40,1,1,1,8,0,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,2,1,2,,1,2,,1,2,,3,1,2,2,2,2,2,3,2,3,2,2,2,2,,2,2,,,,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,15,,,4,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,3,2013,4,3,1,1,1,,1,3,3,,1,1,2,,1,3,1,1,1,2,2,2,,,,,42,4,1,1,6,6,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,1,1,2,,1,2,,1,1,,5,,1,1,1,1,1,2,2,1,1,1,1,1,,5,2,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,28,,,5,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,3,2015,6,3,1,1,2,,1,3,3,,1,4,1,3,1,4,2,,1,1,3,2,,,,,48,4,1,1,4,4,1,4,1,2,2,,2,,5,1,2,2,2,2,,,,,,,,2,1,3,,2,,3,1,2,,2,1,4,4,3,4,4,4,2,3,3,5,4,3,,1,2,,,,,,,,,,,,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,41,,,5,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,3,2016,4,3,1,1,1,,1,2,,,1,4,1,3,1,4,1,4,1,2,3,2,,,,,40,4,1,1,3,6,1,2,1,1,1,3,2,,4,5,2,1,2,2,3,,,,,,2,2,1,3,,1,3,,1,3,,4,,3,4,3,4,5,3,3,3,3,4,3,2,,3,2,,,,,,,,,,,,2,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,,,5,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,3,2016,5,3,1,1,1,,1,3,3,,1,2,1,1,1,4,1,1,1,2,3,2,,,,,40,1,1,1,3,5,2,,1,6,2,,2,,5,1,2,2,2,2,,,,,,,,2,2,,6,1,2,,1,2,,1,1,4,2,2,2,2,3,1,1,2,4,2,2,,3,2,,,,,,,,,,,,2,,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,15,,,4,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,3,2017,1,3,1,1,1,,1,1,,,1,1,1,1,1,4,1,1,2,2,3,2,,,,,40,1,1,1,2,9,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,2,1,2,,1,2,,1,2,,4,,2,2,2,3,2,2,2,3,3,3,3,3,,3,2,,,,,,,,,,,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,3,2017,9,3,2,1,1,,1,3,3,,1,2,1,1,1,4,1,1,2,2,2,2,,,,,40,1,1,1,2,1,1,6,2,,2,,2,,5,1,2,2,2,2,,,,,,,,2,2,,1,2,,2,1,1,,1,1,2,2,1,2,2,2,2,3,1,2,2,1,,1,2,,,,,,,,,,,,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,1,3,2018,3,3,1,1,1,,1,3,4,,1,2,1,3,1,4,1,4,2,2,2,2,,,,,40,4,1,1,1,7,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,2,2,,6,1,2,,1,1,,3,4,4,2,2,2,2,2,2,2,2,2,2,2,,3,2,,,,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12,,,5,1,52.616
3,8,1,3,1,2,2,2,2,2,2,2,2,1,2017,11,1,1,1,2,,1,3,1,,1,1,1,1,1,1,1,1,2,2,3,2,,,,,48,4,1,1,4,2,1,6,1,6,2,,2,,5,,1,2,2,2,1,,,,,,4,2,1,2,,2,,3,1,2,,4,,4,2,2,2,3,2,2,2,2,2,2,2,,2,2,,,,,,,,,,,,2,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,23,,,5,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,2,3,2008,7,3,1,1,1,,1,2,,,1,1,1,1,1,4,1,1,2,2,3,2,,,,,40,4,1,1,11,3,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,1,1,2,,1,2,,1,2,,2,2,2,2,2,3,2,4,2,2,2,2,2,3,,2,2,,,,,,,,,,,,2,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,22,,,5,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,2,3,2018,2,3,2,1,1,,1,3,1,,1,3,1,1,1,3,1,4,2,2,2,2,,,,,40,4,1,1,1,8,1,1,1,1,1,1,2,,5,6,2,2,2,2,,,,,,,,1,1,3,,1,3,,1,2,,4,,2,2,3,2,3,4,2,2,2,2,2,4,6,1,2,,,,,,,,,,,,2,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,22,,,5,2,52.616
3,8,1,3,1,2,2,2,2,2,2,2,6,1,2017,1,3,1,1,1,,1,3,4,,2,,2,,1,2,1,1,2,2,2,2,,,,,50,1,1,1,2,9,2,,1,1,2,,2,,5,1,2,2,2,2,,,,,,,,4,2,,1,1,2,,1,2,,2,1,3,2,2,2,2,5,2,2,1,3,2,1,,3,2,,,,,,,,,,,,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,21,,,4,2,52.616
3,8,1,4,1,2,2,2,2,2,2,2,1,1,2016,3,3,1,1,2,,1,1,,,2,,2,,2,,2,,2,2,2,2,,,,,40,4,1,1,4,5,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,4,2,,6,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,3,1,1,,5,2,,,,,,,,,,,,2,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,1,52.616
3,8,1,4,1,2,2,2,2,2,2,2,1,1,2017,4,3,1,3,1,,1,3,1,,1,3,1,1,1,4,1,4,2,1,2,2,,,,,48,4,1,1,2,6,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,1,1,1,,1,1,,1,1,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,4,2,,,,,,,,,,,,2,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,15,,,5,2,52.616
3,8,1,4,1,2,2,2,2,2,2,2,1,1,2019,1,3,1,1,1,,1,1,,,1,1,1,1,1,4,1,4,2,2,2,2,,,,,40,4,1,1,1,9,2,,2,,2,,2,,,,2,2,2,1,1,,,,,,1,2,2,,12,2,,2,1,1,,3,4,2,2,2,2,2,2,2,2,2,2,2,2,,3,2,,,,,,,,,,,,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,1,52.616
3,8,1,4,1,2,2,2,2,2,2,2,1,1,2019,1,3,1,1,1,,1,1,,,1,4,1,1,1,4,1,4,2,2,1,2,,,,,40,1,1,1,0,9,1,3,1,2,1,6,2,,1,,2,2,2,2,,,,,,,,2,2,,6,2,,3,1,1,,2,1,5,3,3,5,2,3,3,1,1,3,4,3,,2,2,,,,,,,,,,,,2,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,2,52.616
3,8,1,4,1,2,2,2,2,2,2,2,1,3,2009,1,3,1,1,2,,1,2,,,1,2,1,4,1,4,1,4,2,1,2,1,2,460,460,460,40,4,1,1,10,9,2,,2,,2,,2,,,,2,2,2,1,6,,,,,,2,2,1,2,,1,2,,1,2,,4,,2,2,3,3,2,2,2,2,3,3,3,1,,4,2,,,,,,,,,,,,2,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,20,,,5,2,52.616
3,8,1,4,1,2,2,2,2,2,2,2,1,3,2016,4,3,1,1,1,,1,3,3,,1,1,1,1,1,1,1,4,1,2,2,2,,,,,32,4,1,1,9,0,1,2,1,3,2,,2,,5,,2,2,2,2,,,,,,,,1,2,,4,1,2,,1,2,,4,,4,2,2,3,2,3,2,2,2,2,2,1,,3,2,,,,,,,,,,,,2,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,22,,,5,2,52.616
3,8,1,4,1,2,2,2,2,2,2,2,1,3,2018,9,3,1,1,1,,1,3,3,,1,1,1,1,1,1,1,4,2,2,2,2,,,,,32,1,1,1,1,1,1,3,1,3,2,,2,,1,2,2,2,2,2,,,,,,,,3,2,,8,2,,4,1,2,,3,1,4,3,3,2,3,3,3,3,3,3,3,2,,4,2,,,,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,23,,,4,1,52.616
3,8,1,4,1,2,2,2,2,2,2,2,2,2,2008,12,3,1,1,1,,1,3,3,,1,4,1,1,1,4,1,4,1,2,2,2,,,,,46,1,1,1,10,10,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,2,2,,1,2,,2,1,1,,4,,1,2,2,2,3,5,5,1,1,2,1,2,,4,2,,,,,,,,,,,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,37,,,4,2,52.616
3,8,2,1,1,2,1,2,2,2,2,,1,3,2013,4,3,1,1,1,,1,1,,,1,2,1,1,1,1,1,4,2,2,2,2,,,,,40,1,1,1,6,6,1,5,1,6,2,,2,,1,4,2,2,2,2,,,,,,,,4,1,2,,1,2,,1,2,,4,,2,2,2,2,2,2,2,2,2,3,2,2,,4,2,,,,,,,,,,,,2,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,17.581
3,8,2,1,2,1,2,2,2,2,2,,1,1,2015,6,3,1,3,1,,1,1,,,1,1,1,4,1,4,1,4,1,2,2,2,,,,,40,1,1,1,4,4,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,3,2,,1,1,2,,1,2,,2,1,2,2,2,2,3,2,2,2,2,3,2,1,,3,2,,,,,,,,,,,,2,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,17.581
3,8,2,1,2,1,2,2,2,2,2,,1,3,2018,12,3,1,3,1,,1,1,,,1,1,1,1,1,6,1,4,2,1,1,2,,,,,40,1,1,1,4,7,2,,1,3,2,,2,,5,6,2,2,2,2,,,,,,,,4,2,,6,2,,1,2,,5,2,2,2,2,3,3,3,2,2,2,2,2,2,3,,3,1,0,1,9,,,,,,,,,2,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,17.581
3,8,2,1,2,2,1,2,1,2,2,,1,1,2017,2,3,1,1,1,,1,1,,,1,2,1,3,1,1,1,4,2,2,2,2,,,,,40,1,1,1,10,0,1,1,2,,2,,2,,5,1,2,2,2,2,,,,,,,,4,1,3,,1,2,,1,2,,1,1,3,2,2,2,3,3,3,3,1,3,2,1,,2,2,,,,,,,,,,,,2,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,17.581
3,8,2,1,2,2,1,2,2,2,2,,1,1,2017,3,3,1,3,1,,1,1,,,1,2,1,1,1,4,1,4,2,1,2,2,,,,,40,1,1,1,2,7,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,4,2,,1,1,2,,1,1,,3,4,4,2,4,5,3,3,4,3,2,4,4,3,,2,2,,,,,,,,,,,,1,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,17.581
3,8,2,1,2,2,1,2,2,2,2,,1,2,2017,11,2,1,1,1,,1,1,,,1,4,1,1,1,4,1,4,2,2,3,2,,,,,40,1,1,1,5,0,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,3,2,,2,1,3,,1,2,,2,1,4,3,2,3,3,4,3,3,2,3,3,2,,4,2,,,,,,,,,,,,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,17.581
3,8,2,1,2,2,1,2,2,2,2,,1,3,2016,8,3,1,1,1,,1,1,,,1,4,1,1,1,4,1,3,1,2,3,2,,,,,40,1,1,1,3,2,1,6,2,,2,,2,,5,,2,2,2,2,,,,,,,,4,2,,1,1,1,,1,1,,1,1,3,2,2,4,1,3,2,2,2,5,2,2,,1,2,,,,,,,,,,,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,17.581
3,8,2,2,1,2,1,2,1,2,2,,1,3,2012,2,3,1,3,1,,1,1,,,1,1,1,1,1,4,1,1,1,2,2,2,,,,,40,1,1,1,7,8,1,4,1,4,2,,2,,5,4,2,2,2,1,1,4,,,,,1,3,1,2,,1,2,,1,2,,2,1,3,3,4,4,3,3,2,1,1,2,2,2,,3,2,,,,,,,,,,,,2,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,17.581
3,8,2,2,1,2,1,2,2,2,2,,1,1,2014,7,3,1,4,1,,1,1,,,1,1,1,1,1,4,1,1,1,2,3,2,,,,,40,1,1,1,9,5,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,3,2,,1,1,3,,1,1,,3,2,4,3,4,4,3,5,4,3,2,5,4,2,,2,2,,,,,,,,,,,,2,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,17.581
3,8,2,2,1,2,1,2,2,2,2,,1,1,2019,1,3,1,1,1,,1,1,,,1,3,1,1,1,8,1,4,2,2,2,2,,,,,40,1,1,1,5,0,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,3,2,,7,2,,5,1,1,,2,2,1,1,1,2,1,2,1,1,1,3,2,2,,3,2,,,,,,,,,,,,2,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,17.581
3,8,2,2,2,1,2,2,2,2,2,,1,1,2014,1,3,1,1,1,,1,1,,2,1,2,1,1,1,4,1,4,2,2,1,2,,,,,50,4,4,1,5,9,2,,2,,2,,2,,,,2,1,2,2,2,,,,,,2,4,2,,1,1,1,,1,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,2,,,,,,,,,,,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,17.581
3,8,2,2,2,2,1,2,1,2,2,,1,3,2009,2,3,1,3,1,,1,1,,,1,1,1,2,1,3,1,2,1,2,1,2,,,,,60,1,1,1,10,8,1,6,1,3,2,,2,,1,6,2,2,2,2,,,,,,,,3,2,,1,1,1,,1,1,,2,1,2,2,2,2,2,2,2,2,2,3,2,2,,3,2,,,,,,,,,,,,2,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,17.581
3,8,2,2,2,2,1,2,2,2,2,,1,1,2018,3,2,1,3,1,,1,1,,,1,1,1,1,1,4,1,1,2,2,2,2,,,,,40,4,1,1,11,3,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,3,2,,1,1,1,,1,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,4,2,,,,,,,,,,,,2,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,17.581
3,8,2,2,2,2,1,2,2,2,2,,1,2,2018,11,3,1,1,1,,1,1,,,1,6,2,,1,4,1,7,2,3,3,2,,,,,40,1,1,1,0,11,1,5,1,3,2,,2,,5,1,2,2,2,2,,,,,,,,4,2,,1,1,4,,1,4,,2,2,3,3,4,4,3,4,3,2,1,3,3,2,,2,2,,,,,,,,,,,,1,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,17.581
3,8,2,2,2,2,1,2,2,2,2,,1,3,2008,7,3,1,4,1,,1,1,,,1,1,1,1,1,4,1,4,2,2,3,2,,,,,40,1,1,1,11,3,1,2,1,2,1,2,2,,1,2,2,2,2,2,,,,,,,,3,1,1,,1,1,,1,1,,1,4,3,2,3,3,2,2,3,3,2,2,3,2,,2,2,,,,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,17.581
3,8,2,2,2,2,1,2,2,2,2,,1,3,2019,2,3,1,1,1,,1,1,,,1,3,1,3,1,4,1,4,2,2,2,2,,,,,40,1,1,1,0,8,2,,2,,2,,2,,,,2,2,2,2,,,,,,,,3,1,1,,1,1,,1,1,,4,,3,1,3,3,1,1,1,1,1,1,3,1,,3,1,1,0,,,,,,,,,,2,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,17.581
3,8,2,3,1,1,2,2,2,2,2,,2,1,2017,9,3,1,2,1,,1,1,,,1,4,1,1,1,1,1,5,2,1,2,2,,,,,42,1,1,1,2,1,1,6,2,,1,6,1,2,1,5,2,2,2,2,,,,,,,,4,2,,1,1,2,,1,2,,1,2,4,3,2,3,4,3,4,3,2,3,2,1,,3,2,,,,,,,,,,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,17.581
